,AGE_0,AGE_10,AGE_20,AGE_30,AGE_40,AGE_50
PGA_00,5.55111512312578e-15,3.33066907387547e-16,1.55431223447522e-15,8.61088977899271e-13,5.96381948270164e-08,0.004724831
PGA_01,8.5801366012106e-12,6.59805543534731e-13,2.81807910340603e-12,6.90458468177724e-10,8.65698872221099e-06,0.055052333
PGA_02,2.13964224116125e-09,2.23150276035256e-10,8.03585420428021e-10,9.83862253889356e-08,0.000289084,0.228923811
PGA_03,1.48503515928766e-07,2.01849115200048e-08,6.26657707947231e-08,4.20095882214255e-06,0.003530314,0.502109322
PGA_04,4.06083197246332e-06,6.97067380261984e-07,1.89883047896355e-06,7.49324775166649e-05,0.021148494,0.748147712
PGA_05,5.52305180605561e-05,1.16703549244423e-05,2.82955779448146e-05,0.000697399,0.075640895,0.896928019
PGA_06,0.000439617,0.000111927,0.000244443,0.003954772,0.185340089,0.964388927
PGA_07,0.002302838,0.000693644,0.001378532,0.015280803,0.343831864,0.989197198
PGA_08,0.008660291,0.003037359,0.005542007,0.043709488,0.520550107,0.997027438
PGA_09,0.024978664,0.010056878,0.016980388,0.098582478,0.681192502,0.999238577
PGA_10,0.058157368,0.026536806,0.041758038,0.184120454,0.805362698,0.999814708
PGA_11,0.113811074,0.058161427,0.085857372,0.296031639,0.88968572,0.999956476
PGA_12,0.193366796,0.1094523,0.152501392,0.422736447,0.941303335,0.999990008
PGA_13,0.292850895,0.18168427,0.240317023,0.549969026,0.970372057,0.999997736
PGA_14,0.404021921,0.271978459,0.343415884,0.665568112,0.985680301,0.99999949
PGA_15,0.516997011,0.374002207,0.453196325,0.762162628,0.993319203,0.999999885
PGA_16,0.622926268,0.479776481,0.560788005,0.83740134,0.996970217,0.999999974
PGA_17,0.715680726,0.581670089,0.65904193,0.892644665,0.998656395,0.999999994
PGA_18,0.792300342,0.673839062,0.743515256,0.931239631,0.999414382,0.999999999
PGA_19,0.852521226,0.752828656,0.812487485,0.957098619,0.999748049,1